,Click to star the Github Repo,,,,,,,Connect/Follow on LinkedIn,,,,Last updated:,2022-06-22 12:30 (GMT),
Q. No.,Name / Link,"Likes
(L)","Dislikes
(D)","Reactions
(L+D)","L/D
Ratio","Acceptance
Rate",Category,Topic Tags,Difficulty,Free?,"Has
Solution?","Has Video
Solution?","Total
Accepted","Total
Submitted"
226,Invert Binary Tree,8706,119,8825,73.16,72.07%,Algorithms,"Tree, Depth-First Search, Breadth-First Search, Binary Tree, ",Easy,TRUE,TRUE,TRUE,1089091,1511178
102,Binary Tree Level Order Traversal,8672,170,8842,51.01,61.39%,Algorithms,"Tree, Breadth-First Search, Binary Tree, ",Medium,TRUE,TRUE,FALSE,1295692,2110446
141,Linked List Cycle,8611,822,9433,10.48,46.18%,Algorithms,"Hash Table, Linked List, Two Pointers, ",Easy,TRUE,TRUE,TRUE,1520167,3291639
14,Longest Common Prefix,8595,3124,11719,2.75,39.79%,Algorithms,"String, ",Easy,TRUE,TRUE,FALSE,1660253,4172109
155,Min Stack,8493,643,9136,13.21,50.71%,Algorithms,"Stack, Design, ",Easy,TRUE,TRUE,FALSE,1020876,2013080
394,Decode String,8404,365,8769,23.02,56.58%,Algorithms,"String, Stack, Recursion, ",Medium,TRUE,TRUE,FALSE,508424,898568
10,Regular Expression Matching,8408,1279,9687,6.57,28.28%,Algorithms,"String, Dynamic Programming, Recursion, ",Hard,TRUE,TRUE,FALSE,698175,2468851
45,Jump Game II,8387,311,8698,26.97,37.6%,Algorithms,"Array, Dynamic Programming, Greedy, ",Medium,TRUE,TRUE,FALSE,630767,1677767
35,Search Insert Position,8315,425,8740,19.56,42.27%,Algorithms,"Array, Binary Search, ",Easy,TRUE,TRUE,FALSE,1519862,3595876
543,Diameter of Binary Tree,8260,513,8773,16.1,54.75%,Algorithms,"Tree, Depth-First Search, Binary Tree, ",Easy,TRUE,TRUE,FALSE,770653,1407667
127,Word Ladder,8175,1657,9832,4.93,35.76%,Algorithms,"Hash Table, String, Breadth-First Search, ",Hard,TRUE,TRUE,TRUE,786009,2198134
74,Search a 2D Matrix,8140,284,8424,28.66,45.19%,Algorithms,"Array, Binary Search, Matrix, ",Medium,TRUE,TRUE,FALSE,844069,1867926
94,Binary Tree Inorder Traversal,8040,369,8409,21.79,71.26%,Algorithms,"Stack, Tree, Depth-First Search, Binary Tree, ",Easy,TRUE,TRUE,FALSE,1526849,2142783
122,Best Time to Buy and Sell Stock II,7934,2392,10326,3.32,62.38%,Algorithms,"Array, Dynamic Programming, Greedy, ",Medium,TRUE,TRUE,TRUE,1181210,1893484
763,Partition Labels,7852,297,8149,26.44,79.64%,Algorithms,"Hash Table, Two Pointers, String, Greedy, ",Medium,TRUE,TRUE,FALSE,395592,496740
416,Partition Equal Subset Sum,7822,124,7946,63.08,46.57%,Algorithms,"Array, Dynamic Programming, ",Medium,TRUE,TRUE,TRUE,463611,995436
437,Path Sum III,7727,369,8096,20.94,50.03%,Algorithms,"Tree, Depth-First Search, Binary Tree, ",Medium,TRUE,TRUE,FALSE,374016,747525
438,Find All Anagrams in a String,7721,259,7980,29.81,48.49%,Algorithms,"Hash Table, String, Sliding Window, ",Medium,TRUE,TRUE,FALSE,547326,1128846
73,Set Matrix Zeroes,7693,506,8199,15.2,48.84%,Algorithms,"Array, Hash Table, Matrix, ",Medium,TRUE,TRUE,FALSE,733117,1501164
240,Search a 2D Matrix II,7622,124,7746,61.47,48.81%,Algorithms,"Array, Binary Search, Divide and Conquer, Matrix, ",Medium,TRUE,TRUE,FALSE,617295,1264806
64,Minimum Path Sum,7641,106,7747,72.08,59.73%,Algorithms,"Array, Dynamic Programming, Matrix, ",Medium,TRUE,TRUE,FALSE,728807,1220131
